# ----------------------------------------
# Páginas y pantallas: Ruta de página y clase de pantalla
# Cuenta: Pokepedia
# Propiedad: Pokepedia
# ----------------------------------------
# 
# Todos los usuarios
# Fecha de inicio: 20260206
# Fecha de finalización: 20260305
Ruta de página y clase de pantalla,Vistas,Usuarios activos,Vistas por usuario activo,Tiempo de interacción medio por usuario activo,Número de eventos,Eventos clave,Total de ingresos
/en,245,163,1.5030674846625767,17.288343558282207,762,0,0
/es,156,84,1.8571428571428572,15.726190476190476,504,0,0
/en/pokemon/bulbasaur,17,12,1.4166666666666667,23.5,41,0,0
/es/pokemon/venusaur,12,8,1.5,10.5,28,0,0
/en/pokemon/charizard,9,8,1.125,15,18,0,0
/en/pokemon/pidgey,6,4,1.5,24.75,18,0,0
/en/pokemon/venusaur,6,5,1.2,17.2,18,0,0
/es/movimientos,6,3,2,2,15,0,0
/es/objetos,6,4,1.5,12.75,18,0,0
/es/pokemon/bulbasaur,6,6,1,8.5,11,0,0
/en/movimientos,5,5,1,4.8,11,0,0
/en/objetos,5,5,1,27,13,0,0
/en/pokemon/charmander,5,4,1.25,11.5,13,0,0
/es/pokemon/charmander,5,5,1,20.4,17,0,0
/es/habilidades,4,4,1,14,11,0,0
/es/pokemon/charizard,4,4,1,3.5,7,0,0
/es/pokemon/empoleon,4,2,2,13.5,11,0,0
/en/habilidades,3,3,1,3,7,0,0
/en/pokemon/gliscor,3,2,1.5,42,6,0,0
/en/pokemon/hatterene,3,1,3,45,9,0,0
/en/pokemon/ivysaur,3,2,1.5,19.5,8,0,0
/es/pokemon/ivysaur,3,3,1,2.6666666666666665,6,0,0
/es/pokemon/pidgey,3,2,1.5,21.5,9,0,0
/es/pokemon/venusaur-mega,3,1,3,8,5,0,0
/cmd_sco,2,2,1,0,8,0,0
/en/pokemon/aegislash-shield,2,1,2,3,3,0,0
/en/pokemon/aerodactyl,2,2,1,0.5,7,0,0
/en/pokemon/empoleon,2,1,2,6,6,0,0
/en/pokemon/mankey,2,2,1,0.5,7,0,0
/en/pokemon/omastar,2,2,1,0.5,7,0,0
/es/pokemon/aegislash-shield,2,2,1,4,4,0,0
/es/pokemon/chansey,2,1,2,10,3,0,0
/es/pokemon/clobbopus,2,2,1,5.5,4,0,0
/es/pokemon/deerling,2,1,2,9,4,0,0
/es/pokemon/gigalith,2,1,2,17,3,0,0
/es/pokemon/hatterene,2,1,2,13,6,0,0
/es/pokemon/kakuna,2,1,2,7,4,0,0
/es/pokemon/kecleon,2,1,2,4,4,0,0
/es/pokemon/kingdra,2,1,2,4,4,0,0
/es/pokemon/meowscarada,2,2,1,9.5,7,0,0
/es/pokemon/seviper,2,2,1,3,6,0,0
/es/pokemon/skiddo,2,1,2,8,3,0,0
/es/pokemon/snom,2,1,2,2,4,0,0
/en/pokemon/arbok,1,1,1,1,5,0,0
/en/pokemon/bouffalant,1,1,1,1,2,0,0
/en/pokemon/braixen,1,1,1,5,2,0,0
/en/pokemon/bronzong,1,1,1,39,2,0,0
/en/pokemon/chikorita,1,1,1,16,3,0,0
/en/pokemon/clefairy,1,1,1,24,3,0,0
/en/pokemon/cresselia,1,1,1,2,2,0,0
/en/pokemon/dewgong,1,1,1,1,2,0,0
/en/pokemon/excadrill,1,1,1,19,2,0,0
/en/pokemon/excadrill-mega,1,1,1,17,3,0,0
/en/pokemon/fearow,1,1,1,3,2,0,0
/en/pokemon/garchomp,1,1,1,0,1,0,0
/en/pokemon/greedent,1,1,1,1,3,0,0
/en/pokemon/indeedee-male,1,1,1,3,3,0,0
/en/pokemon/machop,1,1,1,1,4,0,0
/en/pokemon/magmortar,1,1,1,37,2,0,0
/en/pokemon/metagross,1,1,1,0,1,0,0
/en/pokemon/mew,1,1,1,3,3,0,0
/en/pokemon/mienshao,1,1,1,11,3,0,0
/en/pokemon/mr-rime,1,1,1,10,3,0,0
/en/pokemon/nidoking,1,1,1,15,2,0,0
/en/pokemon/oinkologne-male,1,1,1,5,3,0,0
/en/pokemon/pawmi,1,1,1,33,3,0,0
/en/pokemon/pecharunt,1,1,1,12,4,0,0
/en/pokemon/pikachu,1,1,1,0,1,0,0
/en/pokemon/poliwhirl,1,1,1,4,2,0,0
/en/pokemon/primeape,1,1,1,11,3,0,0
/en/pokemon/serperior,1,1,1,4,4,0,0
/en/pokemon/seviper,1,1,1,4,3,0,0
/en/pokemon/skarmory,1,1,1,31,3,0,0
/en/pokemon/spewpa,1,1,1,2,3,0,0
/en/pokemon/squirtle,1,1,1,0,1,0,0
/en/pokemon/sudowoodo,1,1,1,3,3,0,0
/en/pokemon/torterra,1,1,1,43,3,0,0
/en/pokemon/walrein,1,1,1,0,1,0,0
/en/pokemon/wattrel,1,1,1,4,2,0,0
/en/pokemon/wo-chien,1,1,1,13,3,0,0
/en/pokemon/zeraora,1,1,1,1,2,0,0
/es/habilidades/stench,1,1,1,5,2,0,0
/es/movimientos/comet-punch,1,1,1,0,1,0,0
/es/movimientos/meteor-assault,1,1,1,0,3,0,0
/es/pokemon/arcanine,1,1,1,6,2,0,0
/es/pokemon/arctovish,1,1,1,1,2,0,0
/es/pokemon/bayleef,1,1,1,3,2,0,0
/es/pokemon/beedrill,1,1,1,5,2,0,0
/es/pokemon/bronzong,1,1,1,4,2,0,0
/es/pokemon/butterfree,1,1,1,4,2,0,0
/es/pokemon/cacturne,1,1,1,4,2,0,0
/es/pokemon/caterpie,1,1,1,29,3,0,0
/es/pokemon/celebi,1,1,1,3,2,0,0
/es/pokemon/charmeleon,1,1,1,0,3,0,0
/es/pokemon/chatot,1,1,1,6,2,0,0
/es/pokemon/chikorita,1,1,1,26,3,0,0
/es/pokemon/clefable,1,1,1,13,2,0,0
/es/pokemon/deoxys-speed,1,1,1,12,3,0,0
/es/pokemon/dewott,1,1,1,1,2,0,0
/es/pokemon/ditto,1,1,1,2,2,0,0
/es/pokemon/drednaw,1,1,1,1,2,0,0
/es/pokemon/dugtrio,1,1,1,13,2,0,0
/es/pokemon/electabuzz,1,1,1,5,2,0,0
/es/pokemon/eternatus-eternamax,1,1,1,56,2,0,0
/es/pokemon/fennekin,1,1,1,1,3,0,0
/es/pokemon/floatzel,1,1,1,4,2,0,0
/es/pokemon/florges,1,1,1,11,2,0,0
/es/pokemon/fomantis,1,1,1,1,2,0,0
/es/pokemon/garchomp,1,1,1,46,4,0,0
/es/pokemon/gliscor,1,1,1,1,2,0,0
/es/pokemon/hawlucha,1,1,1,1,3,0,0
/es/pokemon/hoppip,1,1,1,4,2,0,0
